category,current_stock,avg_weekly_sales,lead_time_days,month,recommended_order_qty
Electronique,279,4.98,11,3,0
Outillage,39,62.11,8,10,31
Textile,301,85.64,14,3,77
Alimentaire,42,74.97,17,3,189
Alimentaire,20,26.39,9,6,26
Outillage,46,6.69,20,6,0
Electronique,183,84.75,17,4,125
Textile,247,84.46,7,5,28
Electronique,162,48.85,23,4,121
Electronique,48,58.52,4,11,37
Textile,79,42.71,17,7,97
Outillage,340,38.94,13,12,0
Textile,385,12.51,17,12,0
Outillage,301,10.51,20,8,0
Textile,41,22.48,18,10,60
Outillage,327,75.62,17,2,83
Textile,276,14.83,21,12,0
Electronique,210,21.95,18,6,0
Outillage,57,50.28,21,9,154
Alimentaire,398,20.93,12,3,0
Textile,177,16.36,8,2,0
Alimentaire,17,51.57,8,11,88
Electronique,83,34.39,16,6,27
Outillage,160,57.1,15,2,66
Outillage,24,82.27,5,8,28
Textile,129,15.29,8,1,0
Alimentaire,187,82.38,24,6,263
Outillage,379,81.42,19,9,67
Textile,34,74.96,19,9,176
Alimentaire,230,57.55,8,6,3
Alimentaire,366,56.57,5,5,0
Electronique,322,58.25,10,11,0
Electronique,369,62.76,21,3,58
Textile,68,3.45,14,1,0
Outillage,320,86.31,20,2,163
Electronique,391,53.53,14,10,0
Outillage,130,70.77,14,6,94
Outillage,199,35.2,16,1,0
Alimentaire,212,3.09,24,3,0
Textile,197,46.86,13,1,25
Electronique,115,46.63,16,10,35
Outillage,388,40.46,23,6,0
Textile,382,31.9,11,1,0
Alimentaire,152,23.98,21,3,10
Electronique,322,48.42,15,8,0
Outillage,159,35.02,22,8,37
Alimentaire,317,87.35,13,10,51
Outillage,233,17.22,17,1,0
Textile,188,30.13,10,1,1
Outillage,51,27.87,17,1,52
Outillage,261,49.81,10,5,0
Electronique,128,45.94,16,9,39
Alimentaire,86,58.65,20,8,153
Alimentaire,77,85.6,13,3,190
Alimentaire,392,27.1,13,8,0
Electronique,41,62.96,10,8,78
Textile,319,4.2,19,3,0
Electronique,346,25.09,16,9,0
Textile,12,42.81,14,6,66
Textile,235,4.73,4,1,0
Outillage,230,56.35,6,5,0
Textile,143,61.69,4,10,0
Alimentaire,266,67.71,21,9,83
Outillage,163,47.46,21,4,71
Alimentaire,175,55.15,5,10,0
Alimentaire,172,36.85,4,5,0
Outillage,320,5.63,20,6,0
Alimentaire,253,10.8,15,2,0
Electronique,151,59.64,10,12,20
Alimentaire,370,89.61,16,11,110
Outillage,320,3.39,8,3,0
Electronique,373,51.07,8,7,0
Alimentaire,292,68.09,11,10,13
Electronique,156,74.76,22,7,134
Textile,309,49.98,20,3,44
Alimentaire,131,56.55,7,12,0
Alimentaire,108,63.31,15,4,123
Electronique,180,77.59,22,5,165
Textile,387,12.76,23,5,0
Textile,227,83.5,20,11,125
Outillage,153,4.29,6,7,0
Alimentaire,184,75.59,9,9,46
Electronique,116,8.75,8,11,0
Outillage,263,19.13,7,12,0
Textile,140,2.34,7,11,0
Textile,221,41.18,10,11,0
Electronique,147,31.42,15,12,40
Alimentaire,128,16.61,12,12,0
Outillage,388,41.7,12,8,0
Outillage,138,37.41,9,2,54
Alimentaire,28,69.55,7,2,69
Outillage,151,80.6,24,10,170
Outillage,212,59.43,16,4,61
Alimentaire,37,12.95,8,10,0
Outillage,122,27.99,21,12,46
Alimentaire,66,82.37,21,8,249
Electronique,200,9.81,24,10,0
Textile,289,37.8,7,4,0
Textile,387,84.94,17,6,87
Electronique,155,85.66,24,12,193
Outillage,345,38.19,20,10,0
Electronique,85,60.73,8,3,37
Outillage,312,42.19,22,12,10
Electronique,225,68.3,12,6,27
Outillage,303,4.78,14,11,0
Outillage,302,14.69,15,7,0
Outillage,212,56.05,20,8,72
Textile,102,22.46,6,2,0
Alimentaire,210,60.61,15,5,81
Textile,330,32.91,21,9,0
Alimentaire,388,80.02,15,11,23
Outillage,371,74.09,9,2,0
Textile,72,45.37,5,1,3
Alimentaire,238,70.01,15,9,68
Textile,41,25.86,18,6,71
Textile,267,45.49,15,11,0
Electronique,396,19.38,24,1,0
Electronique,21,77.76,16,5,194
Electronique,262,74.43,14,1,69
Electronique,378,81.39,5,9,0
Alimentaire,338,79.22,15,11,25
Textile,156,86.44,7,2,57
Textile,41,22.09,19,4,52
Alimentaire,369,84.0,7,11,0
Outillage,368,52.27,23,1,71
Textile,231,39.18,10,12,0
Electronique,391,51.31,13,11,0
Outillage,1,32.15,7,2,43
Textile,246,27.39,8,2,0
Textile,15,23.24,23,9,63
Textile,374,9.25,9,1,0
Textile,272,45.7,14,7,0
Electronique,365,80.12,24,1,166
Textile,225,57.45,17,7,76
Outillage,33,47.85,4,5,17
Alimentaire,10,39.72,11,9,19
Textile,134,42.87,12,11,4
Electronique,297,20.42,9,6,0
Alimentaire,60,74.42,9,8,51
Alimentaire,340,19.46,14,8,0
Outillage,95,65.06,11,12,75
Electronique,198,68.88,10,3,58
Alimentaire,81,52.59,12,3,70
Alimentaire,186,77.94,11,5,66
Outillage,180,27.61,8,9,0
Outillage,2,79.58,13,11,148
Electronique,227,66.19,23,4,139
Electronique,314,72.29,14,2,56
Outillage,374,60.48,16,8,0
Electronique,132,76.48,24,8,188
Outillage,352,89.39,16,5,97
Alimentaire,351,38.97,8,3,0
Outillage,395,73.62,12,11,0
Alimentaire,149,67.52,14,11,96
Alimentaire,340,41.85,13,9,0
Textile,226,83.57,7,7,5
Electronique,23,36.71,6,4,31
Textile,108,51.76,11,5,35
Textile,268,11.32,23,1,0
Outillage,64,21.87,19,3,64
Outillage,173,75.98,21,6,179
Textile,309,36.9,7,6,0
Alimentaire,59,36.68,12,1,56
Alimentaire,198,23.65,16,12,0
Alimentaire,85,45.26,13,4,61
Outillage,214,72.91,12,7,62
Alimentaire,96,80.77,11,6,106
Electronique,386,8.17,5,6,0
Alimentaire,30,52.58,22,11,113
Electronique,385,43.12,23,9,0
Electronique,316,56.06,5,11,0
Electronique,342,41.36,12,5,0
Outillage,340,37.08,14,4,0
Textile,75,43.53,20,6,94
Textile,372,53.22,24,7,42
Alimentaire,237,46.09,12,5,0
Textile,384,43.55,19,6,0
Electronique,351,73.97,23,2,101
Outillage,231,67.62,21,8,75
Textile,149,32.04,10,9,0
Outillage,46,72.45,21,7,220
Electronique,40,77.12,12,11,102
Alimentaire,155,15.51,4,12,0
Textile,324,53.28,19,11,16
Alimentaire,202,27.11,21,2,0
Alimentaire,192,67.05,11,11,63
Electronique,97,23.01,13,5,0
Alimentaire,225,61.08,11,6,19
Electronique,255,24.45,6,5,0
Alimentaire,392,46.98,24,4,60
Textile,291,85.48,4,11,0
Textile,242,35.56,15,8,0
Textile,364,79.06,4,12,0
Alimentaire,169,88.85,18,12,183
Outillage,373,78.99,22,6,104
Electronique,147,16.6,17,9,1
Alimentaire,51,74.13,16,7,142
Electronique,167,4.83,21,6,0
Alimentaire,51,36.61,24,9,114
Outillage,47,78.62,22,9,228
Alimentaire,352,62.61,8,11,0
Outillage,317,48.88,15,10,1
Alimentaire,88,36.13,21,8,79
Textile,335,73.48,10,12,0
Alimentaire,27,64.44,18,2,162
Alimentaire,113,43.22,4,10,0
Outillage,282,80.54,22,5,171
Outillage,121,22.24,16,6,16
Alimentaire,292,16.99,19,10,0
Outillage,349,58.57,21,4,56
Alimentaire,26,87.54,8,11,125
Textile,9,23.76,13,6,33
Outillage,376,23.97,22,5,0
Alimentaire,208,14.28,7,4,0
Textile,202,77.73,21,6,193
Alimentaire,185,21.92,10,12,0
Electronique,173,46.28,16,2,35
Electronique,276,89.2,14,7,39
Alimentaire,231,3.07,18,11,0
Outillage,65,50.97,21,6,138
Electronique,250,47.08,11,7,0
Alimentaire,267,73.06,7,5,48
Textile,45,33.26,12,2,51
Electronique,150,38.11,16,8,1
Textile,316,16.78,19,12,0
Alimentaire,247,67.19,19,7,92
Outillage,54,71.05,11,6,86
Textile,16,14.03,23,2,36
Textile,232,36.62,5,12,0
Electronique,184,80.58,6,11,0
Alimentaire,384,2.24,4,11,0
Outillage,208,28.29,23,5,29
Electronique,372,50.84,7,8,0
Outillage,85,31.4,16,6,56
Alimentaire,178,25.94,21,3,40
Textile,55,42.48,20,3,117
Textile,229,17.97,23,5,0
Alimentaire,75,48.61,5,7,13
Alimentaire,196,64.19,12,2,75
Textile,137,52.63,14,9,62
Electronique,74,10.19,18,6,2
Textile,38,76.31,17,11,161
Electronique,204,17.4,15,4,0
Textile,378,69.3,10,1,0
Textile,79,33.73,6,4,10
Electronique,161,70.88,13,12,76
Outillage,89,20.15,9,4,0
Alimentaire,323,18.43,15,9,0
Outillage,165,45.74,20,11,61
Electronique,389,4.9,15,4,0
Electronique,98,21.83,16,8,0
Alimentaire,32,65.71,4,3,22
Electronique,233,75.69,17,5,105
Alimentaire,260,9.11,13,4,0
Textile,396,79.62,6,9,0
Electronique,348,72.18,8,11,0
Textile,353,78.53,20,4,128
Electronique,253,63.46,23,4,113
Electronique,143,61.33,14,10,67
Textile,171,48.21,24,6,105
Outillage,53,59.45,7,7,35
Electronique,172,82.88,10,9,41
Alimentaire,145,10.85,23,2,0
Outillage,14,29.79,7,11,48
Outillage,81,8.38,17,5,0
Textile,213,85.14,8,8,36
Alimentaire,147,41.18,10,6,31
Alimentaire,397,61.43,14,10,1
Textile,191,76.02,11,8,12
Textile,383,89.21,22,3,189
Alimentaire,264,16.24,24,3,0
Electronique,16,72.36,14,11,139
Electronique,81,80.09,15,7,111
Outillage,282,6.3,5,4,0
Alimentaire,218,68.36,8,2,53
Alimentaire,120,33.22,4,2,0
Alimentaire,208,59.08,21,12,146
Outillage,361,47.24,8,12,0
Electronique,155,24.86,11,5,0
Electronique,18,13.9,21,3,36
Alimentaire,124,12.29,18,6,0
Alimentaire,374,11.09,17,2,0
Textile,304,58.13,4,7,0
Alimentaire,334,32.92,15,8,0
Alimentaire,364,21.06,15,12,0
Outillage,47,62.89,10,4,84
Electronique,113,62.44,19,3,108
Textile,23,49.45,23,2,181
Textile,1,84.28,9,5,112
Alimentaire,333,35.92,10,8,0
Outillage,374,75.56,10,1,0
Alimentaire,62,8.61,21,10,2
Outillage,288,67.11,5,6,0
Alimentaire,213,88.98,22,10,250
Textile,27,76.5,20,6,209
Textile,366,53.01,14,2,0
Outillage,348,57.16,16,1,7
Alimentaire,226,33.09,22,7,54
Alimentaire,283,61.79,20,7,81
Electronique,158,69.79,9,10,0
Alimentaire,317,89.84,5,11,0
Outillage,178,45.34,17,2,79
Electronique,395,7.39,7,4,0
Outillage,25,54.44,5,3,29
Textile,68,12.47,24,2,47
Electronique,387,23.54,13,1,0
Alimentaire,115,30.93,17,1,42
Textile,124,66.33,8,7,26
Alimentaire,316,18.18,6,2,0
Electronique,75,16.59,5,3,0
Textile,205,5.96,11,2,0
Textile,114,78.85,4,9,7
Electronique,79,63.03,12,8,38
Alimentaire,385,5.52,10,12,0
Electronique,79,4.49,15,2,0
Textile,37,51.16,16,3,132
Textile,269,26.86,10,6,0
Textile,346,54.51,13,8,0
Outillage,50,40.25,5,2,5
Outillage,283,83.25,10,3,47
Alimentaire,216,27.33,24,6,29
Electronique,332,61.76,24,1,125
Textile,50,6.76,14,5,8
Outillage,390,86.12,23,10,119
Outillage,247,88.31,14,7,87
Electronique,336,67.04,6,6,0
Electronique,144,42.94,22,6,93
Electronique,377,21.36,12,12,0
Electronique,250,73.5,16,7,51
Textile,50,66.8,17,7,146
Textile,369,21.53,10,12,0
Alimentaire,318,41.71,19,2,0
Alimentaire,120,42.73,14,2,85
Outillage,218,74.72,11,6,39
Alimentaire,155,62.18,10,4,18
Outillage,217,58.6,19,3,42
Outillage,386,59.18,9,2,0
Alimentaire,359,25.8,6,11,0
Electronique,86,34.71,22,8,65
Outillage,388,6.02,10,9,0
Textile,175,71.25,17,2,114
Alimentaire,281,40.1,19,5,8
Textile,305,40.56,21,8,0
Textile,193,23.59,17,7,0
Outillage,182,20.43,18,9,0
Alimentaire,182,53.73,21,9,88
Outillage,345,22.46,23,5,0
Outillage,154,7.65,4,10,0
Electronique,111,69.54,19,4,137
Electronique,144,35.13,7,1,0
Textile,77,35.46,22,11,99
Electronique,156,39.96,5,1,0
Alimentaire,45,73.72,9,4,85
Alimentaire,35,30.23,8,2,46
Outillage,289,68.71,16,3,107
Outillage,30,84.68,4,5,44
Electronique,227,60.16,4,2,0
Outillage,311,39.99,14,6,0
Electronique,289,67.81,24,12,109
Textile,178,42.29,15,2,35
Outillage,77,38.47,13,12,21
Outillage,372,48.22,17,5,0
Electronique,334,29.96,15,8,0
Outillage,244,11.17,12,6,0
Electronique,34,38.51,16,4,64
Textile,14,12.9,4,2,0
Alimentaire,126,38.12,9,8,17
Alimentaire,63,51.01,18,11,117
Electronique,344,83.9,11,7,0
